Construction	Verb
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	allocate
PREP_DATIVE	allocate
PREP_DATIVE	allocate
PREP_DATIVE	allocate
PREP_DATIVE	allocate
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	get
PREP_DATIVE	charge
PREP_DATIVE	charge
PREP_DATIVE	charge
PREP_DATIVE	charge
PREP_DATIVE	drop
PREP_DATIVE	drop
PREP_DATIVE	cause
PREP_DATIVE	cause
PREP_DATIVE	cause
PREP_DATIVE	cause
PREP_DATIVE	cause
